X,Y,ID,ELEV
469167.054536137,6831642.41582323,372,1650.000
469262.856554714,6831831.01841319,372,1650.000
469391.604985746,6832044.63939911,372,1650.000
469540.195991981,6832292.72940058,372,1650.000
469616.346220042,6832474.41033601,372,1650.000
469728.628446888,6832755.24056217,372,1650.000
469841.359783662,6832941.66459365,372,1650.000
470016.926250548,6833216.8927819,372,1650.000
470065.473157116,6833312.03546906,372,1650.000
470289.083672995,6833629.52404031,372,1650.000
470364.685719003,6833678.05736947,372,1650.000
470511.164047116,6833772.73064004,372,1650.000
470237.248019314,6837856.68042545,122,900.000
470324.587696148,6837752.77805128,122,900.000
470339.70628874,6837855.79692833,122,900.000
460769.706691853,6831670.89921488,235,1900.000
460966.757443635,6831450.64118618,235,1900.000
460987.682444639,6831403.51761979,235,1900.000
461207.682717466,6831313.38124028,235,1900.000
461428.906074283,6831331.77207598,235,1900.000
461650.496537383,6831383.4713606,235,1900.000
461699.196747814,6831442.44142687,235,1900.000
461876.331171732,6831820.26634553,235,1900.000
461894.938933438,6831904.45758381,235,1900.000
461894.16907198,6832368.64758805,235,1900.000
461882.6168189,6832389.63720169,235,1900.000
461663.984758674,6832598.24131155,235,1900.000
461444.390526908,6832718.33092969,235,1900.000
461254.284579931,6832839.95199752,235,1900.000
461224.904638379,6832846.7288659,235,1900.000
461004.903713089,6832928.10990744,235,1900.000
460785.315727922,6833044.95460043,235,1900.000
469872.129457832,6836463.04268897,123,950.000
469882.196963434,6836467.25259667,123,950.000
469872.843051014,6836544.69609585,123,950.000
469856.405668452,6836467.47801514,123,950.000
469872.129457832,6836463.04268897,123,950.000
460829.059621853,6836894.8562396,235,1900.000
461048.775803965,6836811.20095452,235,1900.000
461269.463444456,6836813.08354265,235,1900.000
461491.54832441,6836940.08504394,235,1900.000
461712.755934975,6836989.60695155,235,1900.000
461932.815468576,6836935.78232369,235,1900.000
462153.248995214,6836915.42337932,235,1900.000
462372.611645245,6836796.75689891,235,1900.000
462436.161473588,6836540.345999,235,1900.000
462365.15967835,6836114.07178985,235,1900.000
462348.991159421,6836077.11366035,235,1900.000
462140.143618706,6835721.80741906,235,1900.000
462080.493519127,6835615.8725724,235,1900.000
462134.037233325,6835165.60683346,235,1900.000
462150.858350248,6835150.91648723,235,1900.000
462353.954579927,6835087.4828978,235,1900.000
462574.044264061,6835024.35245648,235,1900.000
462795.969035044,6835130.63533472,235,1900.000
462811.512875782,6835143.7300408,235,1900.000
463018.780311181,6835320.89527499,235,1900.000
463241.913874405,6835543.7065265,235,1900.000
463261.02294376,6835603.09371948,235,1900.000
463436.655316373,6836065.4080575,235,1900.000
463469.157241222,6836157.13252171,235,1900.000
463612.084192936,6836527.73313722,235,1900.000
463696.243315317,6836763.08080971,235,1900.000
463783.500104151,6836990.10895875,235,1900.000
463848.11243092,6837453.61174379,235,1900.000
463927.477534268,6837772.68873653,235,1900.000
465629.722206433,6837435.38231077,235,1900.000
465687.8479577,6837328.42897552,235,1900.000
465905.630783329,6837040.9918509,235,1900.000
465951.855431936,6836968.00721478,235,1900.000
466122.728084362,6836680.0811419,235,1900.000
466343.053034622,6836645.04375016,235,1900.000
466563.380998701,6836609.88708316,235,1900.000
466665.267842108,6836496.85790962,235,1900.000
466779.970488452,6836186.30040798,235,1900.000
466811.174242094,6836031.27481983,235,1900.000
466775.498570422,6835722.16831152,235,1900.000
466755.614888811,6835567.63493604,235,1900.000
466551.422510863,6835376.93287977,235,1900.000
466329.020378464,6835207.71442826,235,1900.000
466125.692183738,6835109.58905114,235,1900.000
466107.212192532,6835101.17474496,235,1900.000
462794.091752518,6837464.8301814,287,1400.000
465884.463766653,6834900.97745792,235,1900.000
464796.69509898,6836481.87760788,126,2200.000
462820.311471047,6837387.1833498,287,1400.000
465777.381880364,6834648.85119545,235,1900.000
464576.186426182,6836498.74543371,126,2200.000
463040.371014898,6837334.29298244,287,1400.000
465789.047562721,6834184.55959998,235,1900.000
464565.617352692,6836517.80014912,126,2200.000
463094.451262007,6837461.60046594,287,1400.000
465876.631212884,6834108.99738607,235,1900.000
464576.942173437,6836572.29309853,126,2200.000
466096.330857558,6833993.75786559,235,1900.000
464799.881451536,6836793.90758987,126,2200.000
466315.702749803,6833843.46199565,235,1900.000
464830.136216104,6836515.09138361,126,2200.000
466507.68210047,6833713.33469236,235,1900.000
464796.69509898,6836481.87760788,126,2200.000
466312.655831212,6833531.31477268,235,1900.000
466089.230489018,6833271.08214747,235,1900.000
466071.386056813,6833253.42178926,235,1900.000
465865.337100571,6832966.91220855,235,1900.000
465782.218227423,6832792.10137693,235,1900.000
465641.574529636,6832679.8227694,235,1900.000
465419.89183771,6832604.07970191,235,1900.000
465200.418804866,6832748.53678074,235,1900.000
465062.85747521,6832799.30662472,235,1900.000
464980.114352599,6832809.24353076,235,1900.000
464924.798463097,6832800.70659574,235,1900.000
464347.25617172,6835700.91126773,129,2200.000
464809.620805244,6832337.70233866,235,1900.000
464240.582659005,6836056.97662299,129,2200.000
464887.748174418,6831872.73095444,235,1900.000
464352.125425243,6836171.86646384,129,2200.000
464821.408825057,6831409.23028248,235,1900.000
464398.741077135,6836055.33995631,129,2200.000
464744.311923886,6831350.96927966,235,1900.000
464347.25617172,6835700.91126773,129,2200.000
464521.462821302,6831171.94816511,235,1900.000
464298.795842093,6831012.79562038,235,1900.000
464150.809327316,6830951.94873733,235,1900.000
464076.792199703,6830919.42226042,235,1900.000
463855.536331225,6830898.69335159,235,1900.000
463634.463286596,6830895.61635917,235,1900.000
463413.530588543,6830905.86072963,235,1900.000
463192.375261196,6830895.11917478,235,1900.000
462971.29025863,6830891.09909158,235,1900.000
462749.633694511,6830834.15088694,235,1900.000
462526.905111893,6830679.07019084,235,1900.000
462488.177063615,6830505.42318975,235,1900.000
462524.274634994,6830436.54600761,235,1900.000
462742.484702942,6830171.11530601,235,1900.000
462855.156409253,6830037.27992458,235,1900.000
462959.141944664,6829757.65692276,235,1900.000
463006.285881724,6829571.48083705,235,1900.000
464921.273324869,6829551.51496383,235,1900.000
464947.30227045,6829574.29500609,235,1900.000
468868.37975691,6837868.77645725,287,1400.000
465170.079486847,6829738.40308411,235,1900.000
468868.566006504,6837404.60191501,287,1400.000
465391.87502837,6829806.60714099,235,1900.000
468869.194143578,6836940.42367354,287,1400.000
465613.226977985,6829831.13806126,235,1900.000
468824.486929809,6836476.65540387,287,1400.000
465834.800501369,6829878.43205569,235,1900.000
468767.202727439,6836292.69520432,287,1400.000
466056.02444313,6829890.78296007,235,1900.000
468674.47490124,6836013.84296521,287,1400.000
466276.367864273,6829813.09263219,235,1900.000
468540.950279624,6835682.80902789,287,1400.000
466495.531227463,6829612.67655569,235,1900.000
468480.153106449,6835551.44157386,287,1400.000
468315.451569435,6835163.472956,287,1400.000
468286.412591958,6835089.04546258,287,1400.000
468112.853898832,6834626.4733031,287,1400.000
468201.884625072,6834161.47964506,287,1400.000
468081.400608566,6833726.72347605,287,1400.000
468072.836730253,6833698.49954611,287,1400.000
467857.104387399,6833357.06862442,287,1400.000
461695.445602795,6835431.16813145,133,2150.000
467769.554253822,6833237.14673148,287,1400.000
461472.841354663,6835265.5428392,133,2150.000
467631.802820805,6832885.26146983,287,1400.000
461336.693387814,6835624.1315238,133,2150.000
467558.229269977,6832774.95448363,287,1400.000
461449.146436759,6836087.05730776,133,2150.000
467407.952330268,6832573.57635069,287,1400.000
461482.300165723,6836112.27176821,133,2150.000
467184.930349328,6832353.28666347,287,1400.000
461703.222796314,6836131.3695928,133,2150.000
467153.40384669,6832314.61013995,287,1400.000
461751.32470458,6836083.69192245,133,2150.000
466960.689047715,6832008.53242671,287,1400.000
461745.891101028,6835619.56805084,133,2150.000
466880.939384015,6831853.04029545,287,1400.000
461695.445602795,6835431.16813145,133,2150.000
466735.929863662,6831614.61152387,287,1400.000
463904.460469617,6835573.83857591,134,2250.000
466512.920009464,6831406.34162318,287,1400.000
463878.209651108,6835596.57376052,134,2250.000
466470.013879678,6831392.83269218,287,1400.000
463904.818001323,6835607.99716985,134,2250.000
466290.621295071,6831273.70042511,287,1400.000
464070.232320119,6835594.56776552,134,2250.000
466068.389177854,6831149.59760205,287,1400.000
463904.460469617,6835573.83857591,134,2250.000
465845.288543423,6830939.28661656,287,1400.000
465840.823720258,6830934.82422264,287,1400.000
465845.160560213,6830926.34182226,287,1400.000
466064.709290954,6830774.97395071,287,1400.000
466285.098538756,6830707.78226712,287,1400.000
466505.590697719,6830650.35119313,287,1400.000
466726.025307154,6830586.21372458,287,1400.000
466946.331515875,6830507.82888537,287,1400.000
467014.722732443,6830459.24455474,287,1400.000
467164.925070657,6830248.18827473,287,1400.000
467242.469310083,6829992.90704314,287,1400.000
461248.004020803,6834903.06185852,137,2150.000
461177.319428658,6835161.7370793,137,2150.000
461252.480862013,6835301.55392679,137,2150.000
461351.239013408,6835159.78385257,137,2150.000
461248.004020803,6834903.06185852,137,2150.000
460768.375370863,6831553.69631822,236,1950.000
460859.484852527,6831451.8551595,236,1950.000
460985.034874568,6831169.11180492,236,1950.000
461198.455850482,6830983.84822778,236,1950.000
461203.941039997,6830980.21599014,236,1950.000
461424.297993596,6830919.10900758,236,1950.000
461644.96049269,6830884.85049839,236,1950.000
461866.759627484,6830953.19735852,236,1950.000
461902.37766729,6830976.01340775,236,1950.000
461961.650881303,6831439.5410214,236,1950.000
462097.815600749,6831865.81858599,236,1950.000
462113.453227693,6831902.05333935,236,1950.000
462099.030168594,6831976.48056451,236,1950.000
462041.450852647,6832367.02525882,236,1950.000
461885.495444434,6832650.38169805,236,1950.000
461684.056553846,6832835.15509054,236,1950.000
461666.723546637,6832844.88551197,236,1950.000
461446.350030086,6832893.78349149,236,1950.000
461225.809709783,6832927.30607397,236,1950.000
461005.749349441,6833002.9687022,236,1950.000
463701.16686878,6835134.25255663,139,2200.000
460786.337569135,6833134.90118239,236,1950.000
463678.27776499,6835057.13017549,139,2200.000
463675.588446979,6835134.52183922,139,2200.000
463632.479608101,6835599.15641621,139,2200.000
463684.862841518,6835682.45633367,139,2200.000
463906.859178469,6835803.00942955,139,2200.000
464129.227197181,6835960.80528679,139,2200.000
464329.469295083,6835591.87656896,139,2200.000
464122.125415236,6835278.12757783,139,2200.000
463900.542833603,6835199.54100716,139,2200.000
463701.16686878,6835134.25255663,139,2200.000
468968.639004652,6829976.97573353,287,1400.000
468932.219114154,6830102.00480646,287,1400.000
468804.774667325,6830442.61933697,287,1400.000
468717.890138404,6830848.06476388,287,1400.000
468707.036432001,6830907.67189078,287,1400.000
468721.128466984,6831371.71327996,287,1400.000
468722.674654011,6831376.43569822,287,1400.000
468887.982731489,6831834.37534346,287,1400.000
468948.82639366,6831949.06972274,287,1400.000
460798.335346738,6834190.9427258,236,1950.000
461309.634931215,6834696.06588597,141,2100.000
469165.069190137,6832296.05905958,287,1400.000
460831.883296042,6834237.27215978,236,1950.000
461241.124467802,6834290.67371503,141,2100.000
469173.023249175,6832310.96123048,287,1400.000
460802.883737038,6834591.26630384,236,1950.000
461022.92584577,6834523.3918007,141,2100.000
469384.123751437,6832758.27861402,287,1400.000
460792.269763719,6834701.90721142,236,1950.000
460981.002143294,6834699.76733242,141,2100.000
469398.190997114,6832787.62493397,287,1400.000
460948.399739995,6835164.32136214,141,2100.000
469622.67740392,6833193.81608243,287,1400.000
461032.470278854,6835368.1580933,141,2100.000
469639.517338405,6833220.19185449,287,1400.000
461164.433770138,6835626.0671296,141,2100.000
469845.579277363,6833682.5542049,287,1400.000
461212.288622938,6836089.71373089,141,2100.000
469847.886786819,6833688.72296129,287,1400.000
461261.760620575,6836127.51996229,141,2100.000
470009.001000349,6834145.29889161,287,1400.000
461484.341499989,6836294.99891705,141,2100.000
470075.792192851,6834501.77201135,287,1400.000
461705.236581457,6836312.66928231,141,2100.000
470118.117064675,6834608.52107871,287,1400.000
461923.591256241,6836100.54013652,141,2100.000
470299.725494827,6834865.56114793,287,1400.000
460827.046498443,6836717.70868025,236,1950.000
461932.211564499,6836081.69004311,141,2100.000
470520.290699028,6834840.7157239,287,1400.000
461047.015857054,6836655.45370566,236,1950.000
461923.210417958,6836066.05438536,141,2100.000
461267.823527383,6836667.13164187,236,1950.000
461798.44220495,6835618.9855068,141,2100.000
461489.875652347,6836790.36654156,236,1950.000
461693.164675979,6835225.8023502,141,2100.000
461710.940585194,6836826.18173352,236,1950.000
461624.159117385,6835156.7364686,141,2100.000
461930.765126251,6836750.1311978,236,1950.000
461470.247680502,6835033.35307545,141,2100.000
462151.503740455,6836756.47541911,236,1950.000
461309.634931215,6834696.06588597,141,2100.000
462371.094762665,6836657.79635694,236,1950.000
462400.106647194,6836540.73905915,236,1950.000
462367.692764188,6836346.13574479,236,1950.000
462250.470985337,6836078.19089809,236,1950.000
462142.030912878,6835893.70646456,236,1950.000
461986.170968998,6835616.91102064,236,1950.000
461940.726583491,6835153.22878078,236,1950.000
462130.259575493,6834821.50548106,236,1950.000
462351.171272585,6834832.46798431,236,1950.000
462571.910407869,6834827.68832408,236,1950.000
462794.777068181,6835020.1287462,236,1950.000
462939.852929142,6835142.34866842,236,1950.000
463017.578224855,6835208.78705903,236,1950.000
463240.242584659,6835386.90640432,236,1950.000
463309.638666681,6835602.57613489,236,1950.000
463467.486981078,6835999.4904459,236,1950.000
463506.690778749,6836064.66608471,236,1950.000
463683.725795452,6836526.97767947,236,1950.000
463694.061124334,6836555.88012552,236,1950.000
463860.642239421,6836989.29925516,236,1950.000
463922.638384916,6837452.83073344,236,1950.000
463924.194562649,6837459.0871599,236,1950.000
465470.169645626,6837622.64865995,236,1950.000
465495.211472975,6837436.72647625,236,1950.000
465685.441213583,6837086.69365365,236,1950.000
465767.021265223,6836969.83801412,236,1950.000
465891.128312491,6836504.43045298,236,1950.000
465899.863266301,6836457.92633887,236,1950.000
466054.626076367,6836038.64005195,236,1950.000
466114.422977626,6835834.97474107,236,1950.000
466216.40747262,6835572.87507062,236,1950.000
466111.149726561,6835501.88050718,236,1950.000
465889.184172877,6835378.25053575,236,1950.000
465666.870233394,6835221.24333429,236,1950.000
465580.353911972,6835114.98793603,236,1950.000
465491.356429479,6834651.70050506,236,1950.000
465537.983401807,6834187.05807882,236,1950.000
465654.677253466,6833996.30154197,236,1950.000
465873.993301844,6833842.25596631,236,1950.000
466093.618057711,6833717.65423302,236,1950.000
466093.995440488,6833717.37439495,236,1950.000
466093.610964384,6833716.93227918,236,1950.000
465870.668564866,6833506.05521319,236,1950.000
465647.72673216,6833297.97540731,236,1950.000
465630.655988657,6833257.78226965,236,1950.000
465422.241545683,6832838.66744316,236,1950.000
463230.269188459,6834451.16083517,144,2250.000
465202.224216516,6832927.63760561,236,1950.000
463047.92533785,6834677.00805284,144,2250.000
464981.652520114,6832960.86998019,236,1950.000
463233.429313646,6834747.66495519,144,2250.000
464761.335196903,6833018.63547245,236,1950.000
463394.293913414,6834673.31529195,144,2250.000
464538.986237354,6832877.93927367,236,1950.000
463230.269188459,6834451.16083517,144,2250.000
464481.432076381,6832805.23984096,236,1950.000
464467.78576433,6832341.2032368,236,1950.000
464532.121167023,6832209.62011862,236,1950.000
464672.575218327,6831874.925447,236,1950.000
464719.964824918,6831410.26498186,236,1950.000
464522.234187305,6831247.04964001,236,1950.000
464299.743801434,6831104.52028554,236,1950.000
464077.91912274,6831027.79332962,236,1950.000
463856.65119689,6831005.24947825,236,1950.000
463635.632367156,6831006.675058,236,1950.000
463414.849926585,6831030.43600922,236,1950.000
463193.82227669,6831030.92965114,236,1950.000
462972.75821598,6831028.05268503,236,1950.000
462751.680038874,6831023.93291595,236,1950.000
462530.718853783,6831030.67995684,236,1950.000
462358.153214749,6830971.01702892,236,1950.000
462305.663570472,6830662.13611545,236,1950.000
462289.433452952,6830507.58663829,236,1950.000
462303.231008508,6830439.17435682,236,1950.000
462520.148507256,6830056.1160707,236,1950.000
462532.265211481,6830040.76569397,236,1950.000
462669.720593583,6829575.09954167,236,1950.000
462735.762273211,6829547.6073691,236,1950.000
469575.704612623,6829971.57790663,379,1700.000
469375.803052019,6830261.79044402,379,1700.000
469307.208351381,6830438.11964842,379,1700.000
469168.16862412,6830903.52556793,379,1700.000
460711.985083391,6831453.52981313,237,2000.000
469160.902332738,6830953.27836856,379,1700.000
460766.906729162,6831424.40303821,237,2000.000
469111.183656785,6831368.2030228,379,1700.000
460962.367061776,6830986.50807867,237,2000.000
469165.828986395,6831505.13939652,379,1700.000
460982.722328266,6830964.36391733,237,2000.000
469331.052750449,6831830.4121032,379,1700.000
461201.936302724,6830801.70694678,237,2000.000
469390.581594177,6831929.18366829,379,1700.000
461421.626559316,6830679.86998995,237,2000.000
469607.964730016,6832292.13222597,379,1700.000
461641.699187737,6830591.10119939,237,2000.000
469614.887477397,6832308.64873936,379,1700.000
461863.557627812,6830663.11975297,237,2000.000
469793.218055053,6832754.67479907,379,1700.000
462085.073323152,6830704.77882221,237,2000.000
469840.407916445,6832832.7131952,379,1700.000
462144.011354703,6830509.17689252,237,2000.000
470064.225092816,6833168.13137703,379,1700.000
462144.162183675,6830044.99538721,237,2000.000
470097.774433953,6833216.19142506,379,1700.000
462092.847826531,6829581.37823769,237,2000.000
470287.76056548,6833475.83737507,379,1700.000
470509.851853393,6833619.1720586,379,1700.000
469985.090427265,6837858.86775587,145,950.000
469994.382909992,6837394.61569849,145,950.000
469922.187705067,6836931.07410564,145,950.000
470094.939847646,6836709.08998152,145,950.000
470264.530733914,6836928.10372903,145,950.000
470318.052762249,6836993.95244448,145,950.000
470453.838573648,6837390.64592153,145,950.000
470517.585272842,6837854.27031556,145,950.000
469493.192835776,6837863.18781616,248,1250.000
469441.490402923,6837671.18438553,248,1250.000
469313.024333651,6837400.61554124,248,1250.000
469234.136275809,6836937.14691111,248,1250.000
469213.938735196,6836892.81762045,248,1250.000
469092.74353426,6836474.23994427,248,1250.000
468986.928535122,6836185.70671725,248,1250.000
468929.385690649,6836011.53648943,248,1250.000
468760.659323778,6835570.37861287,248,1250.000
468751.842884867,6835548.96905671,248,1250.000
468551.609027445,6835086.61731063,248,1250.000
468534.586687306,6834985.2349848,248,1250.000
468463.137904795,6834623.25333827,248,1250.000
468438.72256695,6834159.30512258,248,1250.000
468302.918080434,6833799.03186689,248,1250.000
468271.741703179,6833696.6650898,248,1250.000
468077.561537379,6833311.64623963,248,1250.000
468029.046717776,6833234.73338063,248,1250.000
467913.508568971,6832771.63404201,248,1250.000
467849.330460373,6832522.29272839,248,1250.000
467768.198216134,6832308.81628498,248,1250.000
467624.539100823,6832110.56661764,248,1250.000
467401.53328707,6831893.59388196,248,1250.000
467362.339737822,6831848.45705713,248,1250.000
467177.269579451,6831547.21003833,248,1250.000
467071.500094341,6831387.04604453,248,1250.000
466951.862178063,6831085.93720007,248,1250.000
466831.912837076,6830925.1663885,248,1250.000
466949.951248472,6830886.19500844,248,1250.000
467170.179407365,6830801.12346896,248,1250.000
467370.957399618,6830455.86208185,248,1250.000
467387.389384134,6830395.16294143,248,1250.000
467511.122657187,6829990.37090608,248,1250.000
468398.345496054,6829982.14375061,248,1250.000
468336.123949014,6830446.88233566,248,1250.000
468351.745371941,6830910.90851768,248,1250.000
468491.933045247,6831373.79644554,248,1250.000
468501.911211343,6831402.71603145,248,1250.000
464326.462235307,6833689.50642398,149,2250.000
468623.200794448,6831836.77094424,248,1250.000
464105.343695403,6833664.78345181,149,2250.000
468728.859887964,6832059.4578724,248,1250.000
463883.526510888,6833573.63526762,149,2250.000
468859.535549081,6832298.80112147,248,1250.000
463661.722221014,6833484.85130365,149,2250.000
468953.593377096,6832479.20121515,248,1250.000
463440.417369912,6833444.32015315,149,2250.000
469106.534709385,6832760.75157616,248,1250.000
463343.111043587,6833745.49856618,149,2250.000
469178.315159682,6832903.66749938,248,1250.000
463447.623458078,6834124.57529858,149,2250.000
469330.65293534,6833222.92246181,248,1250.000
463668.590552075,6834137.16160992,149,2250.000
469403.710794391,6833410.29202844,248,1250.000
463881.630042662,6834203.99925258,149,2250.000
469509.952072045,6833685.5031916,248,1250.000
463890.186447487,6834210.01731415,149,2250.000
469630.378562007,6834068.83153124,248,1250.000
463914.656401214,6834203.6536891,149,2250.000
469658.998850547,6834148.35886872,248,1250.000
464110.105651622,6834122.60598685,149,2250.000
469785.621726838,6834611.41714228,248,1250.000
464327.968464868,6833835.21603896,149,2250.000
469857.947992615,6834840.20156119,248,1250.000
464510.963412543,6833733.29092187,149,2250.000
469963.273056926,6835074.03522101,248,1250.000
464326.462235307,6833689.50642398,149,2250.000
470082.594972077,6835286.0351621,248,1250.000
463884.471478049,6833663.93252746,150,2300.000
470304.543782163,6835425.15798141,248,1250.000
463662.669274224,6833574.79852064,150,2300.000
470525.427592641,6835441.78374678,248,1250.000
463442.265676589,6833618.80414458,150,2300.000
463401.532803101,6833744.87848732,150,2300.000
463445.282172585,6833903.5621038,150,2300.000
463667.136081685,6833999.02828691,150,2300.000
463887.507052918,6833953.99518179,150,2300.000
464060.266210268,6833737.95525571,150,2300.000
463884.471478049,6833663.93252746,150,2300.000
463497.836477623,6833743.85849528,151,2350.000
463665.681628551,6833860.89498878,151,2350.000
463850.624552172,6833740.14492894,151,2350.000
463663.616334751,6833664.74574817,151,2350.000
463497.836477623,6833743.85849528,151,2350.000
469591.023155917,6829596.53911174,387,1750.000
469721.515026535,6829970.29729298,387,1750.000
469595.520813651,6830107.73226538,387,1750.000
469377.272142455,6830427.5515296,387,1750.000
469373.389423941,6830437.53239102,387,1750.000
469232.417179426,6830902.95275564,387,1750.000
469164.598529326,6831367.31168468,387,1750.000
469164.548860383,6831367.72619453,387,1750.000
469164.603451117,6831367.8629945,387,1750.000
469389.537861534,6831811.43196081,387,1750.000
469406.155634524,6831829.74594646,387,1750.000
469613.349189484,6832133.84564004,387,1750.000
469742.198985568,6832290.95328763,387,1750.000
469838.514739797,6832616.01586422,387,1750.000
469872.975813784,6832753.97784041,387,1750.000
470062.827410666,6833006.9739939,387,1750.000
470208.207890418,6833215.23647667,387,1750.000
470286.437475434,6833322.15074077,387,1750.000
470508.555748574,6833467.49431191,387,1750.000
470508.590691603,6830427.65656111,324,1950.000
461450.257261344,6833243.62650542,159,2100.000
461228.524961591,6833169.03774884,159,2100.000
461008.286291134,6833227.54513022,159,2100.000
460898.751312085,6833308.14476589,159,2100.000
460904.009366522,6833772.26952066,159,2100.000
461014.982002204,6833820.24573936,159,2100.000
461238.066385907,6834018.44626778,159,2100.000
461456.47831463,6833800.62157307,159,2100.000
461496.772099931,6833765.60491537,159,2100.000
461623.457736027,6833300.01084442,159,2100.000
461450.257261344,6833243.62650542,159,2100.000
461229.430058059,6833249.61499069,160,2150.000
461009.131949242,6833302.40395414,160,2150.000
461002.931855497,6833306.96610355,160,2150.000
461009.524630596,6833337.16448877,160,2150.000
461232.347567504,6833509.34584596,160,2150.000
461357.322468215,6833302.98019737,160,2150.000
461229.430058059,6833249.61499069,160,2150.000
463448.423986409,6833280.20203529,161,2200.000
463438.568250819,6833269.75689053,161,2200.000
463418.601443097,6833280.51798304,161,2200.000
463284.689291512,6833746.11963412,161,2200.000
463227.20559737,6834163.70709304,161,2200.000
463214.720130288,6834211.04495949,161,2200.000
463010.365949877,6834536.13810705,161,2200.000
